,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
111,frozenset({'B'}),"frozenset({'J', 'C'})",0.891891892,0.945945946,0.864864865,0.96969697,1.025108225,0.021183346,1.783783784
112,frozenset({'J'}),"frozenset({'B', 'C'})",0.945945946,0.891891892,0.864864865,0.914285714,1.025108225,0.021183346,1.261261261
113,frozenset({'C'}),"frozenset({'B', 'J'})",1,0.864864865,0.864864865,0.864864865,1,0,1
114,"frozenset({'D', 'B'})",frozenset({'E'}),0.837837838,1,0.837837838,1,1,0,inf
115,"frozenset({'D', 'E'})",frozenset({'B'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
116,"frozenset({'B', 'E'})",frozenset({'D'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
117,frozenset({'D'}),"frozenset({'B', 'E'})",0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
118,frozenset({'B'}),"frozenset({'D', 'E'})",0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
119,frozenset({'E'}),"frozenset({'D', 'B'})",1,0.837837838,0.837837838,0.837837838,1,0,1
120,"frozenset({'D', 'B'})",frozenset({'F'}),0.837837838,1,0.837837838,1,1,0,inf
121,"frozenset({'D', 'F'})",frozenset({'B'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
122,"frozenset({'B', 'F'})",frozenset({'D'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
123,frozenset({'D'}),"frozenset({'B', 'F'})",0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
124,frozenset({'B'}),"frozenset({'D', 'F'})",0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
125,frozenset({'F'}),"frozenset({'D', 'B'})",1,0.837837838,0.837837838,0.837837838,1,0,1
126,"frozenset({'D', 'B'})",frozenset({'G'}),0.837837838,1,0.837837838,1,1,0,inf
127,"frozenset({'D', 'G'})",frozenset({'B'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
128,"frozenset({'B', 'G'})",frozenset({'D'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
129,frozenset({'D'}),"frozenset({'B', 'G'})",0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
130,frozenset({'B'}),"frozenset({'D', 'G'})",0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
131,frozenset({'G'}),"frozenset({'D', 'B'})",1,0.837837838,0.837837838,0.837837838,1,0,1
132,"frozenset({'D', 'B'})",frozenset({'H'}),0.837837838,1,0.837837838,1,1,0,inf
133,"frozenset({'D', 'H'})",frozenset({'B'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
134,"frozenset({'B', 'H'})",frozenset({'D'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
135,frozenset({'D'}),"frozenset({'B', 'H'})",0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
136,frozenset({'B'}),"frozenset({'D', 'H'})",0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
137,frozenset({'H'}),"frozenset({'D', 'B'})",1,0.837837838,0.837837838,0.837837838,1,0,1
138,"frozenset({'D', 'B'})",frozenset({'I'}),0.837837838,0.972972973,0.810810811,0.967741935,0.994623656,-0.004382761,0.837837838
139,"frozenset({'D', 'I'})",frozenset({'B'}),0.864864865,0.891891892,0.810810811,0.9375,1.051136364,0.03944485,1.72972973
140,"frozenset({'B', 'I'})",frozenset({'D'}),0.864864865,0.891891892,0.810810811,0.9375,1.051136364,0.03944485,1.72972973
141,frozenset({'D'}),"frozenset({'B', 'I'})",0.891891892,0.864864865,0.810810811,0.909090909,1.051136364,0.03944485,1.486486486
142,frozenset({'B'}),"frozenset({'D', 'I'})",0.891891892,0.864864865,0.810810811,0.909090909,1.051136364,0.03944485,1.486486486
143,frozenset({'I'}),"frozenset({'D', 'B'})",0.972972973,0.837837838,0.810810811,0.833333333,0.994623656,-0.004382761,0.972972973
144,"frozenset({'D', 'B'})",frozenset({'J'}),0.837837838,0.945945946,0.810810811,0.967741935,1.023041475,0.018261505,1.675675676
145,"frozenset({'D', 'J'})",frozenset({'B'}),0.864864865,0.891891892,0.810810811,0.9375,1.051136364,0.03944485,1.72972973
146,"frozenset({'B', 'J'})",frozenset({'D'}),0.864864865,0.891891892,0.810810811,0.9375,1.051136364,0.03944485,1.72972973
147,frozenset({'D'}),"frozenset({'B', 'J'})",0.891891892,0.864864865,0.810810811,0.909090909,1.051136364,0.03944485,1.486486486
148,frozenset({'B'}),"frozenset({'D', 'J'})",0.891891892,0.864864865,0.810810811,0.909090909,1.051136364,0.03944485,1.486486486
149,frozenset({'J'}),"frozenset({'D', 'B'})",0.945945946,0.837837838,0.810810811,0.857142857,1.023041475,0.018261505,1.135135135
150,"frozenset({'B', 'E'})",frozenset({'F'}),0.891891892,1,0.891891892,1,1,0,inf
151,"frozenset({'B', 'F'})",frozenset({'E'}),0.891891892,1,0.891891892,1,1,0,inf
152,"frozenset({'E', 'F'})",frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
153,frozenset({'B'}),"frozenset({'E', 'F'})",0.891891892,1,0.891891892,1,1,0,inf
154,frozenset({'E'}),"frozenset({'B', 'F'})",1,0.891891892,0.891891892,0.891891892,1,0,1
155,frozenset({'F'}),"frozenset({'B', 'E'})",1,0.891891892,0.891891892,0.891891892,1,0,1
156,"frozenset({'B', 'G'})",frozenset({'E'}),0.891891892,1,0.891891892,1,1,0,inf
157,"frozenset({'B', 'E'})",frozenset({'G'}),0.891891892,1,0.891891892,1,1,0,inf
